DATE,TIME START,TIME STOP,DURATION,EVENT
2019-09-01,0:00:00,18:18:00,18:18:00,rain
2019-09-02,8:56:00,17:03:00,8:07:00,rain
2019-09-02,20:48:00,23:35:00,2:47:00,rain
2019-09-03,7:48:00,17:41:00,9:53:00,rain
2019-09-03,19:51:00,23:26:00,3:35:00,rain
2019-09-04,7:55:00,17:08:00,9:13:00,rain
2019-09-04,18:38:00,19:54:00,1:16:00,rain
2019-09-05,7:22:00,8:22:00,1:00:00,rain
2019-09-05,9:07:00,9:43:00,0:36:00,rain
2019-09-05,10:26:00,11:51:00,1:25:00,rain
2019-09-05,12:05:00,14:19:00,2:14:00,rain
2019-09-05,15:12:00,16:02:00,0:50:00,rain
2019-09-06,12:00:00,23:50:00,11:50:00,rain
2019-09-07,0:43:00,1:44:00,1:01:00,rain
2019-09-07,2:31:00,3:37:00,1:06:00,rain
2019-09-07,4:53:00,5:56:00,1:03:00,rain
2019-09-07,8:44:00,9:32:00,0:48:00,rain
2019-09-07,13:29:00,15:10:00,1:41:00,rain
2019-09-07,16:50:00,18:19:00,1:29:00,rain
2019-09-07,20:10:00,21:47:00,1:37:00,rain
2019-09-08,6:36:00,7:43:00,1:07:00,rain
2019-09-08,8:59:00,11:24:00,2:25:00,rain
2019-09-08,12:17:00,13:33:00,1:16:00,rain
2019-09-08,15:07:00,17:57:00,2:50:00,rain
2019-09-09,10:30:00,11:42:00,1:12:00,rain
2019-09-09,15:31:00,17:35:00,2:04:00,rain
2019-09-10,2:30:00,4:02:00,1:32:00,rain
2019-09-10,9:51:00,15:52:00,6:01:00,rain
2019-09-11,6:55:00,12:30:00,5:35:00,rain
2019-09-12,0:00:00,6:06:00,6:06:00,rain
2019-09-12,7:10:00,13:22:00,6:12:00,rain
2019-09-12,15:26:00,22:01:00,6:35:00,rain
2019-09-13,5:25:00,10:10:00,4:45:00,rain
2019-09-13,12:17:00,15:57:00,3:40:00,rain
2019-09-13,16:51:00,18:16:00,1:25:00,rain
2019-09-13,18:45:00,20:27:00,1:42:00,rain
2019-09-14,0:05:00,1:51:00,1:46:00,rain
2019-09-14,10:54:00,15:59:00,5:05:00,rain
2019-09-15,9:19:00,17:00:00,7:41:00,rain
2019-09-16,5:56:00,23:59:59,18:03:59,rain
2019-09-17,8:21:00,13:23:00,5:02:00,rain
2019-09-17,13:57:00,16:36:00,2:39:00,rain
2019-09-18,9:15:00,14:02:00,4:47:00,rain
2019-09-18,17:06:00,17:44:00,0:38:00,rain
2019-09-22,14:20:00,23:48:00,9:28:00,rain
2019-09-23,9:30:00,16:00:00,6:30:00,rain
2019-09-23,20:03:00,22:47:00,2:44:00,rain
2019-09-24,3:53:00,5:30:00,1:37:00,rain
2019-09-24,7:12:00,23:59:59,16:47:59,rain
2019-09-25,10:59:00,13:02:00,2:03:00,rain
2019-09-25,13:22:00,17:00:00,3:38:00,rain
2019-09-25,16:51:00,20:10:00,3:19:00,rain
2019-09-26,1:05:00,5:48:00,4:43:00,rain
2019-09-26,6:15:00,23:59:59,17:44:59,rain
2019-09-27,0:00:00,3:10:00,3:10:00,rain
2019-09-27,7:40:00,18:07:00,10:27:00,rain
2019-09-27,19:51:00,20:53:00,1:02:00,rain
2019-09-28,2:03:00,20:38:00,18:35:00,rain
2019-09-28,22:55:00,23:59:59,1:04:59,rain
2019-09-29,0:00:00,1:22:00,1:22:00,rain
2019-09-29,3:29:00,23:59:59,20:30:59,rain
2019-09-30,0:00:00,2:34:00,2:34:00,rain
2019-09-30,12:25:00,14:36:00,2:11:00,rain
2019-09-30,14:52:00,23:59:59,9:07:59,rain
2020-12-01,0:00:00,17:28:00,17:28:00,rain
2020-12-02,13:30:00,15:30:00,2:00:00,rain
2020-12-02,21:50:00,23:59:59,2:09:59,rain
2020-12-03,0:00:00,2:12:00,2:12:00,rain
2020-12-03,4:23:00,23:59:59,19:36:59,rain
2020-12-04,0:00:00,17:28:00,17:28:00,rain
2020-12-10,0:30:00,12:00:00,11:30:00,failure
2020-12-11,2:12:00,21:49:00,19:37:00,rain
2020-12-12,8:44:00,23:50:00,15:06:00,rain
2020-12-13,13:06:00,23:59:59,10:53:59,rain
2020-12-14,0:00:00,10:55:00,10:55:00,rain
2020-12-14,15:17:00,23:59:59,8:42:59,rain
2020-12-15,0:00:00,13:06:00,13:06:00,rain
2020-12-17,0:00:00,4:30:00,4:30:00,rain
2020-12-19,8:40:00,15:17:00,6:37:00,rain
2020-12-20,13:10:00,15:16:00,2:06:00,rain
2020-12-21,8:44:00,23:59:59,15:15:59,rain
2020-12-22,0:00:00,11:15:00,11:15:00,rain
2020-12-22,13:30:00,21:50:00,8:20:00,rain
2020-12-23,0:30:00,4:23:00,3:53:00,rain
2020-12-23,4:30:00,15:30:00,11:00:00,rain
2020-12-23,17:27:00,23:59:59,6:32:59,rain
2020-12-24,0:00:00,5:00:00,5:00:00,rain
2020-12-24,7:00:00,12:00:00,5:00:00,rain
2020-12-24,13:10:00,17:45:00,4:35:00,rain
2020-12-24,21:49:00,23:50:00,2:01:00,rain
2020-12-26,15:17:00,23:59:59,8:42:59,rain
2020-12-27,0:00:00,22:30:00,22:30:00,rain
2020-12-29,4:30:00,7:00:00,2:30:00,rain
2020-12-30,17:28:00,23:59:59,6:31:59,rain
2020-12-31,0:00:00,2:12:00,2:12:00,rain
2021-03-03,19:10:00,22:00:00,2:50:00,rain
2021-03-04,1:30:00,6:30:00,5:00:00,rain
2021-03-04,6:35:00,23:59:59,17:24:59,rain
2021-03-05,0:00:00,1:00:00,1:00:00,rain
2021-03-09,11:00:00,17:27:00,6:27:00,rain
2021-03-10,10:50:00,23:59:59,13:09:59,rain
2021-03-11,0:00:00,23:59:59,23:59:59,rain
2021-03-12,0:00:00,4:23:00,4:23:00,rain
2021-03-12,6:34:00,23:59:59,17:25:59,rain
2021-03-13,0:00:00,21:49:00,21:49:00,rain
2021-03-13,22:00:00,23:40:00,1:40:00,rain
2021-03-14,4:22:00,8:44:00,4:22:00,rain
2021-03-14,10:55:00,15:17:00,4:22:00,rain
2021-03-14,21:50:00,23:59:59,2:09:59,rain
2021-03-15,0:00:00,4:23:00,4:23:00,rain
2021-03-15,8:40:00,11:15:00,2:35:00,rain
2021-03-15,12:30:00,16:00:00,3:30:00,rain
2021-03-16,21:49:00,23:50:00,2:01:00,rain
2021-03-17,10:30:00,13:10:00,2:40:00,rain
2021-03-17,15:30:00,19:38:00,4:08:00,rain
2021-03-17,22:00:00,23:59:59,1:59:59,rain
2021-03-18,0:00:00,2:11:00,2:11:00,rain
2021-03-26,8:50:00,23:59:00,15:09:00,rain
2021-03-27,4:00:00,6:33:00,2:33:00,rain
2021-03-27,8:44:00,17:28:00,8:44:00,rain
2021-03-28,7:00:00,18:00:00,11:00:00,rain
2021-06-02,13:00:00,15:30:00,02:30:00,rain
2021-06-02,18:00:00,21:00:00,03:00:00,rain
2021-06-03,10:30:00,11:30:00,01:00:00,rain
2021-06-03,20:00:00,21:30:00,01:30:00,rain
2021-06-04,10:15:00,11:00:00,00:45:00,rain
2021-06-04,12:00:00,13:45:00,01:45:00,rain
2021-06-04,15:15:00,17:45:00,02:30:00,rain
2021-06-17,04:00:00,05:00:00,01:00:00,rain
2021-06-17,23:30:00,23:59:59,00:29:59,rain
2021-06-18,00:30:00,02:45:00,02:15:00,rain
2021-06-19,18:30:00,22:00:00,03:30:00,rain
2021-06-20,20:00:00,23:59:59,03:59:59,rain
2021-06-21,00:00:00,15:00:00,15:00:00,failure
2021-06-22,04:00:00,08:00:00,04:00:00,rain
2021-06-22,09:45:00,11:15:00,01:30:00,rain
2021-06-22,14:30:00,17:30:00,03:00:00,rain
2021-06-25,16:00:00,16:40:00,00:40:00,rain
2021-06-26,12:30:00,14:30:00,02:00:00,rain
2021-06-27,00:00:00,23:59:59,23:59:59,failure
2021-06-28,00:00:00,23:59:59,23:59:59,failure
2021-06-29,00:00:00,23:59:59,23:59:59,failure
2021-06-30,00:00:00,23:59:59,23:59:59,failure
