# This file is generated on 02-Oct-2023 at 12:34:01 and contains for each site, each satellite, frequency:
# att_vap = attenuation due to water vapor (dB).
# All parameters are computed by: ITU-R P.676-8 model general method.
# Attenuation due to water vapor results are sorted acording to the site identification number:
#    _ 1 = Louvain-la-Neuve (Lat = 5.0670e+01 deg, Lon = 4.6100e+00 deg, Alt = 1.6000e-01 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), Elevation angle (deg), Elevation probability (), att_vap (dB)
1, 1, 3.9400e+01, 5.0000e+00, 1.0000e+00, 1.4137e+00
1, 2, 3.9400e+01, 1.0000e+01, 1.0000e+00, 7.2369e-01
1, 3, 3.9400e+01, 1.5000e+01, 1.0000e+00, 4.8743e-01
1, 4, 3.9400e+01, 2.0000e+01, 1.0000e+00, 3.6936e-01
1, 5, 3.9400e+01, 2.5000e+01, 1.0000e+00, 2.9911e-01
1, 6, 3.9400e+01, 3.0000e+01, 1.0000e+00, 2.5291e-01
1, 7, 3.9400e+01, 3.5000e+01, 1.0000e+00, 2.2051e-01
1, 8, 3.9400e+01, 4.0000e+01, 1.0000e+00, 1.9679e-01
1, 9, 3.9400e+01, 4.5000e+01, 1.0000e+00, 1.7891e-01
1, 10, 3.9400e+01, 5.0000e+01, 1.0000e+00, 1.6516e-01
